UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,APPLCN,APPLCNM,APPLCNW,APPLCNAN,APPLCNUN,ADMSSN,ADMSSNM,ADMSSNW,ADMSSNAN,ADMSSNUN,ENRLT,ENRLM,ENRLW,ENRLAN,ENRLUN,ENRLFT,ENRLFTM,ENRLFTW,ENRLFTAN,ENRLFTUN,ENRLPT,ENRLPTM,ENRLPTW,ENRLPTAN,ENRLPTUN,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR50,SATVR75,SATMT25,SATMT50,SATMT75,ACTCM25,ACTCM50,ACTCM75,ACTEN25,ACTEN50,ACTEN75,ACTMT25,ACTMT50,ACTMT75
101435,1,5,1,5,5,5,5,1,3,3,5,5,2573,1275,1298,0.0,0,1697.0,854.0,843.0,,0,258.0,156.0,102.0,,0,258.0,156.0,102.0,,0.0,0.0,0.0,0.0,,0.0,17.0,7.0,121.0,47.0,500.0,520.0,600.0,500.0,540.0,580.0,18.0,21.0,24.0,18.0,21.0,24.0,16.0,19.0,23.0
101453,5,5,1,5,1,5,1,1,5,5,1,5,4,3,1,0.0,0,4.0,3.0,1.0,,0,3.0,2.0,1.0,,0,3.0,2.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,67.0,,,,,,,,,,,,,,,
101480,1,3,1,3,3,3,5,1,3,3,3,3,12570,4480,8090,,0,9863.0,3505.0,6358.0,,0,1941.0,801.0,1140.0,,0,1911.0,788.0,1123.0,,0.0,30.0,13.0,17.0,,0.0,112.0,6.0,1025.0,53.0,480.0,560.0,600.0,460.0,540.0,600.0,16.0,20.0,23.0,15.0,20.0,24.0,16.0,17.0,22.0
101587,1,3,1,5,3,3,1,1,3,3,3,3,3131,984,2147,,0,2156.0,664.0,1492.0,,0,311.0,124.0,187.0,,0,300.0,119.0,181.0,,0.0,11.0,5.0,6.0,,0.0,11.0,4.0,185.0,60.0,430.0,450.0,470.0,450.0,480.0,510.0,17.0,19.0,21.0,16.0,18.0,20.0,16.0,18.0,20.0
101648,1,3,5,5,5,3,5,3,3,3,3,3,622,405,217,,0,390.0,268.0,122.0,,0,195.0,134.0,61.0,,0,195.0,134.0,61.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
101693,1,3,5,3,3,3,5,1,3,3,3,3,1690,496,1194,,0,1421.0,411.0,1010.0,,0,272.0,107.0,165.0,,0,272.0,107.0,165.0,,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,72.0,28.0,,,,,,,21.0,25.0,27.0,22.0,25.0,30.0,18.0,23.0,26.0
101709,1,3,1,3,3,3,3,1,3,3,3,3,6426,1910,4206,310.0,0,3845.0,1131.0,2653.0,61.0,0,544.0,220.0,320.0,4.0,0,540.0,218.0,318.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
101879,1,3,1,3,3,3,3,1,3,3,3,3,4009,1428,2581,,0,3836.0,1364.0,2472.0,,0,1140.0,422.0,718.0,,0,1106.0,409.0,697.0,,0.0,34.0,13.0,21.0,,0.0,,,,,,,,,,,,,,,,,,,
101912,1,3,1,3,5,3,3,1,3,3,5,3,1446,567,879,,0,984.0,376.0,608.0,,0,378.0,180.0,198.0,,0,374.0,176.0,198.0,,0.0,4.0,4.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
102049,1,5,1,5,1,5,5,1,3,5,1,5,4337,1472,2865,0.0,0,3611.0,1163.0,2448.0,,0,974.0,289.0,685.0,,0,972.0,289.0,683.0,,0.0,2.0,0.0,2.0,,0.0,257.0,26.0,627.0,64.0,550.0,600.0,650.0,530.0,570.0,620.0,23.0,26.0,29.0,22.0,26.0,31.0,20.0,24.0,27.0
102094,1,3,1,3,3,3,1,1,3,3,3,3,12550,4599,7918,33.0,0,8203.0,2973.0,5215.0,15.0,0,1614.0,609.0,1005.0,0.0,0,1599.0,602.0,997.0,,0.0,15.0,7.0,8.0,,0.0,118.0,7.0,1395.0,86.0,510.0,550.0,600.0,493.0,545.0,600.0,20.0,22.0,26.0,20.0,22.0,26.0,17.0,20.0,25.0
102234,1,3,1,5,5,3,5,1,3,3,5,3,2050,762,1288,0.0,0,1489.0,569.0,920.0,,0,228.0,101.0,127.0,,0,224.0,100.0,124.0,,0.0,4.0,1.0,3.0,,0.0,7.0,3.0,115.0,52.0,550.0,580.0,620.0,560.0,580.0,610.0,19.0,21.0,24.0,20.0,23.0,28.0,18.0,22.0,26.0
102270,1,3,1,3,3,3,3,1,3,3,3,3,1791,588,1203,,0,1156.0,364.0,792.0,,0,149.0,63.0,86.0,,0,127.0,51.0,76.0,,0.0,22.0,12.0,10.0,,0.0,,,,,,,,,,,,,,,,,,,
102368,1,3,1,5,3,3,1,1,5,3,3,3,7035,2503,4532,,0,6672.0,2359.0,4313.0,,0,1683.0,638.0,1045.0,,0,1413.0,515.0,898.0,,0.0,270.0,123.0,147.0,,0.0,96.0,6.0,1008.0,60.0,490.0,540.0,590.0,460.0,505.0,560.0,17.0,20.0,24.0,16.0,21.0,25.0,16.0,18.0,23.0
102377,1,5,1,5,5,5,1,1,3,3,5,3,12043,3618,8425,,0,3575.0,1072.0,2503.0,,0,533.0,211.0,322.0,,0,533.0,211.0,322.0,,0.0,0.0,0.0,0.0,,0.0,40.0,8.0,455.0,85.0,495.0,570.0,620.0,475.0,530.0,595.0,18.0,21.0,24.0,17.0,20.0,24.0,16.0,18.0,22.0
102395,1,3,1,3,3,3,3,1,3,3,1,3,3,2,1,,0,3.0,2.0,1.0,,0,3.0,2.0,1.0,,0,1.0,0.0,1.0,,0.0,2.0,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
102553,5,3,1,3,3,3,3,1,5,3,3,3,4005,1672,2333,,0,2616.0,1079.0,1537.0,,0,1072.0,471.0,601.0,,0,705.0,330.0,375.0,,0.0,367.0,141.0,226.0,,0.0,,,,,,,,,,,,,,,,,,,
102632,1,3,1,5,3,5,3,1,3,5,3,3,466,159,307,0.0,0,292.0,111.0,181.0,,0,165.0,69.0,96.0,,0,111.0,51.0,60.0,,0.0,54.0,18.0,36.0,,0.0,,,,,,,,,,,,,,,,,,,
102669,1,3,1,3,3,3,3,1,3,3,3,3,434,129,305,,0,431.0,127.0,304.0,,0,30.0,8.0,22.0,,0,24.0,7.0,17.0,,0.0,6.0,1.0,5.0,,0.0,,,,,,,,,,,,,,,,,,,
104151,5,5,1,5,3,3,3,1,3,3,3,3,68789,34073,34632,0.0,84,61739.0,30036.0,31628.0,,75,15151.0,7693.0,7428.0,,30,14980.0,7606.0,7345.0,,29.0,171.0,87.0,83.0,,1.0,,,,,,,,,,,,,,,,,,,
104179,1,5,1,5,3,3,5,1,5,5,5,3,52091,23387,28704,,0,45194.0,19865.0,25329.0,,0,9027.0,3804.0,5223.0,,0,5918.0,2489.0,3429.0,,0.0,3109.0,1315.0,1794.0,,0.0,1710.0,19.0,2072.0,23.0,570.0,620.0,680.0,570.0,620.0,690.0,21.0,25.0,29.0,20.0,24.0,29.0,20.0,25.0,28.0
104586,5,5,1,1,5,3,5,1,3,3,5,5,3547,2441,1104,,2,2412.0,1672.0,740.0,,0,756.0,529.0,227.0,,0,756.0,529.0,227.0,,0.0,0.0,0.0,0.0,,0.0,275.0,36.0,199.0,26.0,580.0,630.0,680.0,590.0,640.0,700.0,24.0,27.0,31.0,22.0,26.0,30.0,24.0,27.0,30.0
104717,1,3,1,3,3,3,5,1,3,3,5,3,29304,10310,17889,,1105,22818.0,8558.0,14256.0,,4,8438.0,3245.0,5193.0,,0,7397.0,2912.0,4485.0,,0.0,1041.0,333.0,708.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
105330,1,3,1,3,3,3,3,1,3,3,3,3,44855,15462,29393,,0,35881.0,12139.0,23742.0,,0,5575.0,2100.0,3475.0,,0,5434.0,2052.0,3382.0,,0.0,141.0,48.0,93.0,,0.0,,,,,,,,,,,,,,,,,,,
105589,1,3,1,3,5,3,3,1,3,5,1,3,185,57,128,0.0,0,182.0,57.0,125.0,,0,33.0,15.0,18.0,,0,33.0,15.0,18.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
105899,1,3,1,3,5,3,5,1,5,5,1,3,1316,864,452,,0,923.0,579.0,344.0,,0,306.0,176.0,130.0,,0,295.0,174.0,121.0,,0.0,11.0,2.0,9.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
106245,1,3,1,5,3,3,1,1,3,3,3,3,3568,1294,2274,,0,2193.0,813.0,1380.0,,0,549.0,246.0,303.0,,0,523.0,233.0,290.0,,0.0,26.0,13.0,13.0,,0.0,26.0,5.0,454.0,83.0,480.0,550.0,620.0,490.0,530.0,600.0,18.0,21.0,24.0,18.0,21.0,25.0,16.0,19.0,24.0
106342,1,3,3,5,3,3,3,3,3,3,5,3,1382,907,455,20.0,0,827.0,528.0,292.0,7.0,0,146.0,90.0,55.0,1.0,0,144.0,89.0,55.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
106397,1,5,1,5,3,3,5,5,3,3,5,5,26219,10966,15253,,0,20695.0,8398.0,12297.0,,0,7099.0,3166.0,3933.0,,0,7063.0,3150.0,3913.0,,0.0,36.0,16.0,20.0,,0.0,2179.0,31.0,5315.0,75.0,520.0,560.0,610.0,510.0,550.0,610.0,21.0,24.0,28.0,21.0,24.0,29.0,19.0,23.0,26.0
106412,1,3,1,3,3,3,1,1,3,3,3,3,4183,1563,2620,,0,2900.0,1041.0,1859.0,,0,575.0,272.0,303.0,,0,505.0,233.0,272.0,,0.0,70.0,39.0,31.0,,0.0,83.0,14.0,417.0,73.0,425.0,470.0,525.0,380.0,450.0,520.0,14.0,15.0,18.0,11.0,15.0,19.0,14.0,15.0,17.0
106458,1,5,1,5,3,3,5,1,3,3,3,3,6045,2875,3168,,2,4202.0,1909.0,2293.0,,0,1325.0,566.0,759.0,,0,1240.0,529.0,711.0,,0.0,85.0,37.0,48.0,,0.0,30.0,2.0,1169.0,88.0,470.0,550.0,610.0,510.0,550.0,590.0,19.0,22.0,25.0,20.0,23.0,26.0,17.0,21.0,25.0
106467,1,3,1,5,3,3,5,1,3,3,3,3,5762,2305,3457,0.0,0,5439.0,2166.0,3273.0,,0,1452.0,675.0,777.0,,0,1385.0,647.0,738.0,,0.0,67.0,28.0,39.0,,0.0,16.0,1.0,1338.0,92.0,480.0,560.0,620.0,510.0,540.0,560.0,17.0,21.0,24.0,17.0,21.0,25.0,16.0,20.0,24.0
106546,1,3,1,3,3,3,1,1,3,3,3,3,14,2,12,,0,12.0,1.0,11.0,,0,4.0,0.0,4.0,,0,4.0,,4.0,,0.0,,,,,,0.0,0.0,1.0,25.0,,,,,,,,,,,,,,,
106704,1,3,1,3,3,3,5,1,3,3,3,3,6522,2199,4323,0.0,0,5949.0,1969.0,3980.0,,0,1803.0,636.0,1167.0,,0,1799.0,634.0,1165.0,,0.0,4.0,2.0,2.0,,0.0,43.0,2.0,1716.0,95.0,460.0,530.0,570.0,480.0,520.0,560.0,19.0,22.0,25.0,18.0,22.0,26.0,17.0,23.0,25.0
106713,1,3,1,5,5,5,1,1,3,3,5,3,269,150,119,,0,172.0,100.0,72.0,,0,103.0,64.0,39.0,,0,103.0,64.0,39.0,,0.0,0.0,0.0,0.0,,0.0,14.0,14.0,78.0,76.0,418.0,475.0,525.0,423.0,485.0,558.0,17.0,19.0,24.0,15.0,20.0,25.0,16.0,18.0,23.0
107044,5,3,1,5,1,3,1,1,3,3,3,3,2254,979,1275,,0,1017.0,446.0,571.0,,0,802.0,359.0,443.0,,0,799.0,357.0,442.0,,0.0,3.0,2.0,1.0,,0.0,221.0,28.0,612.0,76.0,530.0,590.0,660.0,510.0,570.0,640.0,20.0,24.0,28.0,21.0,24.0,30.0,18.0,23.0,27.0
107071,1,5,1,3,3,3,1,1,5,3,3,5,2345,861,1484,0.0,0,1657.0,585.0,1072.0,,0,413.0,183.0,230.0,,0,404.0,178.0,226.0,,0.0,9.0,5.0,4.0,,0.0,20.0,5.0,392.0,95.0,445.0,490.0,523.0,458.0,505.0,550.0,16.0,19.0,21.0,15.0,19.0,22.0,16.0,18.0,20.0
107080,1,5,1,1,5,3,5,3,3,3,5,3,2729,1415,1314,0.0,0,1645.0,802.0,843.0,,0,363.0,189.0,174.0,,0,363.0,189.0,174.0,,0.0,,,,,,55.0,15.0,234.0,64.0,580.0,620.0,680.0,553.0,610.0,648.0,23.0,26.0,30.0,23.0,26.0,32.0,20.0,24.0,27.0
107141,1,5,1,3,5,5,5,1,3,3,5,3,1490,517,973,,0,844.0,321.0,523.0,,0,306.0,127.0,179.0,,0,304.0,126.0,178.0,,0.0,2.0,1.0,1.0,,0.0,51.0,17.0,191.0,62.0,570.0,620.0,710.0,530.0,590.0,680.0,22.0,25.0,29.0,22.0,25.0,31.0,19.0,24.0,31.0
107512,5,5,1,3,5,3,5,1,3,3,3,3,2063,862,1201,,0,1492.0,576.0,916.0,,0,445.0,182.0,263.0,,0,445.0,182.0,263.0,,0.0,0.0,0.0,0.0,,0.0,51.0,11.0,349.0,78.0,520.0,570.0,610.0,500.0,540.0,590.0,21.0,24.0,28.0,21.0,24.0,29.0,19.0,22.0,26.0
107558,1,3,1,5,5,5,5,5,3,3,5,3,2157,948,1202,0.0,7,1296.0,544.0,750.0,,2,229.0,107.0,122.0,,0,229.0,107.0,122.0,,0.0,0.0,0.0,0.0,,0.0,37.0,26.0,92.0,64.0,490.0,550.0,590.0,470.0,530.0,560.0,19.0,21.0,24.0,18.0,20.0,24.0,16.0,19.0,24.0
107585,5,3,1,3,3,3,1,1,1,3,3,3,991,396,559,,36,991.0,396.0,559.0,,36,479.0,209.0,250.0,,20,407.0,176.0,217.0,,14.0,72.0,33.0,33.0,,6.0,1.0,0.0,336.0,70.0,,,,,,,17.0,19.0,22.0,16.0,19.0,22.0,16.0,18.0,22.0
107877,1,1,1,3,3,3,5,1,3,3,3,3,951,388,563,,0,564.0,219.0,345.0,,0,144.0,58.0,86.0,,0,144.0,58.0,86.0,,0.0,0.0,0.0,0.0,,0.0,7.0,5.0,130.0,90.0,415.0,450.0,555.0,545.0,600.0,615.0,18.0,20.0,24.0,16.0,20.0,24.0,17.0,19.0,23.0
107983,1,1,1,3,3,3,1,1,3,3,5,3,2916,1108,1789,19.0,0,1855.0,712.0,1129.0,14.0,0,707.0,315.0,387.0,5.0,0,703.0,314.0,384.0,5.0,0.0,4.0,1.0,3.0,0.0,0.0,59.0,8.0,700.0,99.0,460.0,540.0,595.0,445.0,530.0,595.0,17.0,21.0,24.0,16.0,21.0,25.0,16.0,19.0,23.0
108852,1,3,1,3,1,1,3,3,3,3,1,3,182,76,100,6.0,0,164.0,68.0,90.0,6.0,0,56.0,24.0,31.0,1.0,0,56.0,24.0,31.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
108861,5,5,5,5,1,5,5,5,5,5,1,5,18,11,7,0.0,0,12.0,8.0,4.0,,0,12.0,8.0,4.0,,0,3.0,3.0,0.0,,0.0,9.0,5.0,4.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
109651,5,3,1,5,5,1,3,1,3,5,5,3,1285,436,848,1.0,0,912.0,264.0,647.0,1.0,0,290.0,116.0,174.0,0.0,0,290.0,116.0,174.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
109785,1,3,1,5,5,3,5,5,3,3,5,5,3438,1198,2230,10.0,0,2991.0,1036.0,1948.0,7.0,0,518.0,162.0,356.0,0.0,0,510.0,159.0,351.0,,0.0,8.0,3.0,5.0,,0.0,49.0,10.0,12.0,2.0,510.0,560.0,630.0,470.0,550.0,610.0,21.0,25.0,28.0,21.0,25.0,30.0,20.0,25.0,26.0
110097,1,3,1,3,3,3,5,1,3,3,1,3,4224,1654,2570,,0,2392.0,886.0,1506.0,,0,706.0,292.0,414.0,,0,694.0,287.0,407.0,,0.0,12.0,5.0,7.0,,0.0,183.0,26.0,72.0,10.0,565.0,640.0,695.0,540.0,610.0,670.0,23.0,26.0,30.0,23.0,26.0,32.0,20.0,25.0,27.0
110361,1,5,1,5,5,3,3,5,3,3,5,3,7654,2741,4913,,0,6117.0,2146.0,3971.0,,0,1303.0,488.0,815.0,,0,1269.0,480.0,789.0,,0.0,34.0,8.0,26.0,,0.0,,,,,,,,,,,,,,,,,,,
110370,1,3,1,5,1,1,3,1,3,3,3,3,2987,813,2163,11.0,0,2261.0,574.0,1680.0,7.0,0,191.0,59.0,130.0,2.0,0,191.0,59.0,130.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
110404,5,5,1,5,1,5,3,1,3,5,1,3,16626,11352,5274,,0,448.0,211.0,237.0,,0,224.0,116.0,108.0,,0,224.0,116.0,108.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
110413,1,5,1,1,1,3,5,5,3,3,1,5,5150,2235,2915,,0,4490.0,1930.0,2560.0,,0,602.0,279.0,323.0,,0,602.0,279.0,323.0,,0.0,,,,,,83.0,14.0,25.0,4.0,580.0,620.0,660.0,570.0,610.0,660.0,26.0,29.0,30.0,24.0,28.0,31.0,25.0,27.0,28.0
110422,1,3,1,1,3,3,3,1,3,5,3,3,58774,29613,29161,,0,17885.0,7431.0,10454.0,,0,5110.0,2412.0,2698.0,,0,5099.0,2407.0,2692.0,,0.0,11.0,5.0,6.0,,0.0,,,,,,,,,,,,,,,,,,,
110468,1,3,1,3,5,3,3,1,3,5,1,5,1,1,0,,0,0.0,0.0,,,0,,,,,0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,
110486,1,3,1,1,3,3,3,1,3,5,3,3,13834,5621,8213,,0,11973.0,4759.0,7214.0,,0,1107.0,391.0,716.0,,0,1080.0,383.0,697.0,,0.0,27.0,8.0,19.0,,0.0,,,,,,,,,,,,,,,,,,,
110495,1,3,1,1,3,3,3,1,3,5,3,3,6077,2161,3916,,0,5871.0,2068.0,3803.0,,0,1032.0,346.0,686.0,,0,964.0,318.0,646.0,,0.0,68.0,28.0,40.0,,0.0,,,,,,,,,,,,,,,,,,,
110510,1,3,1,1,3,3,3,1,3,5,3,3,15501,6417,9084,,0,14119.0,5737.0,8382.0,,0,2324.0,965.0,1359.0,,0,2236.0,925.0,1311.0,,0.0,88.0,40.0,48.0,,0.0,,,,,,,,,,,,,,,,,,,
110529,1,3,1,1,3,3,3,1,3,5,3,3,49079,25201,23878,,0,27179.0,12222.0,14957.0,,0,3655.0,2028.0,1627.0,,0,3576.0,1984.0,1592.0,,0.0,79.0,44.0,35.0,,0.0,,,,,,,,,,,,,,,,,,,
110538,1,3,1,1,3,3,3,1,3,3,3,3,21417,9072,12345,,0,20347.0,8512.0,11835.0,,0,2020.0,938.0,1082.0,,0,1970.0,918.0,1052.0,,0.0,50.0,20.0,30.0,,0.0,,,,,,,,,,,,,,,,,,,
110547,1,3,1,1,3,3,3,1,3,5,3,3,19165,8211,10954,,0,17082.0,7132.0,9950.0,,0,2062.0,918.0,1144.0,,0,1908.0,839.0,1069.0,,0.0,154.0,79.0,75.0,,0.0,,,,,,,,,,,,,,,,,,,
110556,1,3,1,1,3,3,3,1,3,3,3,3,18551,7727,10824,,0,17703.0,7320.0,10383.0,,0,3458.0,1420.0,2038.0,,0,3236.0,1328.0,1908.0,,0.0,222.0,92.0,130.0,,0.0,,,,,,,,,,,,,,,,,,,
110565,1,3,1,1,3,3,3,1,3,3,3,3,48748,20218,28530,,0,32527.0,12865.0,19662.0,,0,5280.0,2200.0,3080.0,,0,4965.0,2054.0,2911.0,,0.0,315.0,146.0,169.0,,0.0,,,,,,,,,,,,,,,,,,,
110574,1,3,1,1,3,3,3,1,3,5,3,3,12461,5193,7268,,0,11988.0,4982.0,7006.0,,0,896.0,393.0,503.0,,0,882.0,384.0,498.0,,0.0,14.0,9.0,5.0,,0.0,,,,,,,,,,,,,,,,,,,
110583,1,3,1,1,3,3,3,1,3,3,3,3,74718,30081,44637,,0,29851.0,10738.0,19113.0,,0,5365.0,2093.0,3272.0,,0,5260.0,2042.0,3218.0,,0.0,105.0,51.0,54.0,,0.0,,,,,,,,,,,,,,,,,,,
110592,1,3,1,1,3,3,3,1,3,5,3,3,33939,13884,20055,,0,29507.0,11618.0,17889.0,,0,3892.0,1766.0,2126.0,,0,3715.0,1687.0,2028.0,,0.0,177.0,79.0,98.0,,0.0,,,,,,,,,,,,,,,,,,,
110608,1,3,1,1,3,3,3,1,3,3,3,3,25965,11826,14139,,0,23687.0,10525.0,13162.0,,0,4972.0,2350.0,2622.0,,0,4899.0,2315.0,2584.0,,0.0,73.0,35.0,38.0,,0.0,,,,,,,,,,,,,,,,,,,
110617,1,3,1,1,3,3,3,1,3,5,3,3,25276,10591,14685,,0,23559.0,9769.0,13790.0,,0,3916.0,1721.0,2195.0,,0,3805.0,1658.0,2147.0,,0.0,111.0,63.0,48.0,,0.0,,,,,,,,,,,,,,,,,,,
110635,1,3,1,5,5,3,3,1,3,5,1,3,128209,61188,67021,,0,14523.0,5357.0,9166.0,,0,6728.0,2701.0,4027.0,,0,6681.0,2681.0,4000.0,,0.0,47.0,20.0,27.0,,0.0,,,,,,,,,,,,,,,,,,,
110644,1,3,1,1,3,3,3,1,3,5,1,3,94747,44180,50567,,0,35377.0,14117.0,21260.0,,0,6399.0,2495.0,3904.0,,0,6292.0,2457.0,3835.0,,0.0,107.0,38.0,69.0,,0.0,,,,,,,,,,,,,,,,,,,
110653,1,1,1,1,3,3,3,1,3,5,1,3,119191,55549,63642,,0,25212.0,10064.0,15148.0,,0,5664.0,2176.0,3488.0,,0,5656.0,2174.0,3482.0,,0.0,8.0,2.0,6.0,,0.0,,,,,,,,,,,,,,,,,,,
110662,1,3,1,1,3,3,3,1,3,3,1,3,149801,68595,81206,,0,12845.0,5096.0,7749.0,,0,6462.0,2410.0,4052.0,,0,6450.0,2408.0,4042.0,,0.0,12.0,2.0,10.0,,0.0,,,,,,,,,,,,,,,,,,,
110671,1,3,1,1,3,3,3,1,3,3,3,3,54683,25945,28738,,0,37563.0,16502.0,21061.0,,0,5573.0,2640.0,2933.0,,0,5522.0,2615.0,2907.0,,0.0,51.0,25.0,26.0,,0.0,,,,,,,,,,,,,,,,,,,
110680,1,3,1,1,3,3,3,1,3,5,1,3,131197,61341,69856,,0,31103.0,12945.0,18158.0,,0,6546.0,2790.0,3756.0,,0,6530.0,2782.0,3748.0,,0.0,16.0,8.0,8.0,,0.0,,,,,,,,,,,,,,,,,,,
110705,1,3,1,1,3,3,3,1,3,3,1,3,110995,50599,60396,,0,28688.0,11643.0,17045.0,,0,4967.0,2089.0,2878.0,,0,4945.0,2079.0,2866.0,,0.0,22.0,10.0,12.0,,0.0,,,,,,,,,,,,,,,,,,,
110714,1,3,1,1,3,3,3,1,3,3,3,3,65912,29570,36342,,0,30926.0,12501.0,18425.0,,0,3859.0,1705.0,2154.0,,0,3834.0,1697.0,2137.0,,0.0,25.0,8.0,17.0,,0.0,,,,,,,,,,,,,,,,,,,
110918,1,3,1,5,1,3,5,1,3,3,1,5,1,0,1,,0,1.0,,1.0,,0,1.0,,1.0,,0,0.0,,0.0,,0.0,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
